area_sqft,bedrooms,bathrooms,location,age_years,price
2352.4,3,1,Old Town,44,608157.06
1680.0,2,3,Suburban,44,509184.81
2575.2,4,1,Old Town,16,707538.35
2670.3,1,3,Suburban,59,660955.21
1224.5,2,3,Hillcrest,27,450627.38
1548.9,4,4,Riverside,31,633726.19
2263.9,4,2,Riverside,45,605585.52
2041.9,1,1,Downtown,39,533872.89
2191.6,3,2,Hillcrest,10,694637.53
1773.5,2,4,Suburban,18,552974.32
2639.7,3,3,Suburban,21,739038.41
2588.9,5,3,Downtown,56,763899.67
2233.0,1,2,Old Town,42,478674.71
2763.6,5,1,Downtown,21,798107.12
2433.8,3,4,Hillcrest,44,696116.3
1770.4,4,4,Old Town,44,603775.58
2384.4,3,4,Downtown,23,700584.15
1720.6,2,4,Riverside,24,596379.65
2639.2,4,2,Riverside,53,671201.36
2175.0,4,2,Suburban,33,629254.87
2107.6,1,1,Hillcrest,8,554778.25
1859.5,4,4,Riverside,43,693122.21
2811.3,4,3,Riverside,35,809240.32
2122.7,2,2,Riverside,30,574622.99
1985.8,5,4,Old Town,43,685799.27
2023.9,4,3,Hillcrest,54,580220.29
2466.2,2,4,Suburban,19,699382.48
2382.7,1,4,Old Town,25,698790.53
2406.4,4,1,Old Town,11,675239.8
2415.4,2,2,Old Town,38,596890.42
3270.8,4,3,Hillcrest,24,946873.42
1996.8,3,4,Suburban,20,686246.86
1943.9,3,1,Hillcrest,41,500799.49
1793.1,1,2,Suburban,24,421667.4
2508.0,4,3,Suburban,27,752449.8
2764.5,1,4,Riverside,26,689812.44
2143.0,3,1,Old Town,15,635225.74
1779.9,5,3,Riverside,7,666378.94
1787.8,5,2,Suburban,49,520615.46
2525.3,5,1,Riverside,5,714832.79
2571.6,5,3,Suburban,19,690105.83
2471.6,3,2,Hillcrest,40,692518.86
1867.2,2,3,Suburban,7,575168.76
2316.1,5,2,Riverside,39,695116.01
2258.3,5,4,Suburban,43,783056.88
2309.3,5,1,Suburban,39,726822.77
2635.7,4,4,Old Town,18,771013.05
2311.8,1,1,Suburban,1,499535.85
2539.5,3,3,Downtown,53,738193.48
2233.8,3,2,Suburban,19,666496.53
2344.6,5,2,Riverside,48,718796.41
2515.6,2,1,Downtown,11,713875.13
1471.4,2,3,Suburban,9,462462.85
2040.2,1,1,Downtown,46,592379.81
1964.8,5,3,Riverside,56,615089.35
1880.6,4,3,Hillcrest,51,672269.91
2062.4,1,4,Old Town,45,469743.29
2947.5,3,3,Suburban,14,766534.13
1767.1,3,2,Old Town,54,553929.95
2684.1,3,3,Suburban,40,714709.06
1358.6,5,4,Hillcrest,10,691138.62
2032.6,1,2,Riverside,7,568938.56
2281.4,2,1,Hillcrest,52,589049.45
2493.1,1,4,Hillcrest,16,769114.02
2555.6,2,1,Riverside,45,608544.04
2596.7,5,3,Suburban,8,746571.73
2025.6,5,1,Riverside,16,630285.14
1968.8,1,1,Old Town,17,501036.01
2629.0,4,4,Old Town,16,794838.19
2104.3,2,1,Old Town,40,448100.28
1562.2,1,3,Downtown,54,437414.53
1633.4,2,3,Riverside,54,467935.3
1740.3,1,1,Downtown,44,445830.51
2448.6,3,1,Hillcrest,12,651307.92
2271.2,5,4,Old Town,57,675283.47
2545.2,3,3,Downtown,32,710599.26
1986.4,4,1,Hillcrest,32,665008.59
2279.3,3,4,Old Town,42,682233.42
2512.8,1,2,Old Town,46,561270.72
2045.3,1,1,Suburban,57,454077.22
2428.4,2,4,Downtown,34,711906.74
1869.0,2,1,Old Town,36,440563.66
2018.5,5,3,Old Town,44,599651.87
2009.1,5,4,Riverside,15,698034.74
1602.1,5,3,Old Town,18,576381.91
2443.5,4,3,Downtown,37,703888.57
1965.3,3,2,Hillcrest,3,661636.17
2206.2,4,1,Downtown,19,708513.1
2440.4,3,3,Old Town,43,589183.27
2423.3,4,4,Hillcrest,58,757592.95
2532.7,4,1,Old Town,31,659887.23
2150.8,4,4,Riverside,23,730196.65
1988.4,4,2,Downtown,26,656185.6
2160.1,1,3,Downtown,41,531481.39
1356.3,4,1,Suburban,32,430244.33
1476.4,2,3,Hillcrest,1,560736.82
1538.7,4,1,Downtown,32,584708.27
1701.4,3,2,Old Town,24,428880.29
2399.9,5,3,Suburban,42,755408.74
1747.3,2,1,Riverside,52,511691.77
2010.9,5,2,Suburban,57,622444.34
2849.6,5,3,Riverside,36,858738.65
2021.9,2,1,Riverside,21,522613.48
2568.8,3,2,Downtown,26,721401.75
1733.2,3,2,Riverside,10,507137.87
2097.3,4,3,Hillcrest,56,581536.89
1725.0,4,4,Old Town,50,613208.65
2030.5,5,4,Suburban,51,649887.23
2620.2,2,1,Old Town,19,610606.62
1336.3,3,1,Old Town,19,377283.47
2417.2,3,1,Old Town,51,532499.34
2318.9,5,3,Suburban,32,732042.7
1902.9,2,1,Old Town,42,442943.42
1477.0,3,1,Riverside,29,493173.63
2236.1,1,4,Downtown,26,664393.19
1935.3,5,4,Suburban,37,701779.64
2316.3,2,4,Hillcrest,48,688884.89
2210.9,2,2,Downtown,20,697077.42
3000.9,3,3,Riverside,48,736856.35
2080.3,3,3,Hillcrest,14,685460.6
1688.3,5,1,Downtown,24,660392.82
2289.6,3,3,Riverside,54,694916.4
2310.0,3,3,Suburban,57,580529.16
2879.6,1,2,Riverside,55,641832.66
2617.6,1,4,Suburban,18,748884.86
2378.4,2,3,Old Town,50,618441.56
2931.7,5,3,Downtown,56,858307.78
1605.6,5,3,Old Town,58,545703.94
1880.1,4,4,Hillcrest,1,711870.33
1736.7,4,3,Old Town,44,571336.93
2005.1,2,2,Old Town,59,485022.15
1511.7,1,4,Downtown,45,491395.1
2517.6,1,3,Old Town,13,635707.53
2088.9,2,4,Riverside,45,581877.1
1464.6,2,1,Old Town,6,457712.61
1692.2,1,2,Old Town,28,557567.67
2356.8,2,4,Riverside,37,595736.78
2619.1,1,3,Suburban,27,671991.89
3198.4,4,4,Downtown,41,876098.18
3656.9,5,1,Downtown,14,1004543.73
2407.2,4,1,Suburban,36,666959.15
1705.2,3,4,Old Town,38,581815.76
1134.0,3,2,Riverside,38,477536.1
2333.9,2,3,Riverside,17,669390.88
1793.5,1,2,Suburban,18,541517.39
1992.3,3,2,Riverside,15,518845.93
1894.0,3,4,Hillcrest,27,727129.38
2129.6,1,1,Old Town,35,501331.31
2733.0,3,4,Hillcrest,21,864851.96
2278.5,2,4,Hillcrest,24,652539.34
2120.7,1,3,Old Town,17,523092.07
1682.2,4,2,Riverside,13,600028.69
1362.7,3,1,Old Town,39,412797.02
1956.8,4,3,Suburban,48,630955.03
2173.1,4,2,Downtown,17,744140.18
3084.0,5,1,Riverside,51,740304.88
2265.1,5,2,Downtown,34,770877.47
2691.4,4,4,Downtown,10,852777.83
1950.4,5,2,Old Town,21,627712.12
1607.5,3,1,Hillcrest,0,510510.45
1717.4,5,3,Suburban,2,686861.44
1837.4,4,1,Old Town,20,460165.34
3264.2,4,4,Downtown,27,961098.04
1789.3,5,4,Suburban,47,590990.97
2619.2,3,4,Hillcrest,8,819002.34
1748.5,4,4,Suburban,50,599969.8
2665.8,2,1,Hillcrest,14,754823.1
2392.5,5,1,Old Town,8,698899.38
2121.7,4,2,Downtown,41,634937.05
2179.6,4,2,Downtown,46,646867.26
1872.6,3,4,Old Town,36,634784.42
2423.0,5,3,Riverside,6,817398.38
1972.5,1,3,Riverside,6,559426.29
1587.2,1,4,Riverside,23,500637.62
1561.0,3,3,Riverside,27,482898.53
2286.3,4,2,Hillcrest,59,696271.88
2989.5,5,2,Riverside,17,789325.58
2280.0,3,3,Downtown,11,747271.1
2140.7,4,1,Hillcrest,56,638267.41
2342.9,3,3,Hillcrest,9,836402.42
2853.0,5,3,Downtown,1,858334.73
2309.7,4,3,Suburban,25,706637.94
1994.5,3,3,Hillcrest,24,732148.06
2753.1,5,4,Hillcrest,37,923821.57
2414.4,1,4,Downtown,52,619339.6
2967.9,5,3,Downtown,55,867176.74
